HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
51122090,"WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR OTHER, MIXED MAINLY OR SOLELY WITH MAN-MADE FILAMENTS: OTHER",5%,,01/07/2017,
511230,"OTHER, MIXED MAINLY OR SOLELY WITH MAN-MADE STAPLE FIBRES",5%,,01/07/2017,
51123010,"WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR OTHER, MIXED MAINLY OR SOLELY WITH MAN-MADE STAPLE FIBRES : UNBLEACHED",5%,,01/07/2017,
51123020,"WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR OTHER, MIXED MAINLY OR SOLELY WITH MAN-MADE STAPLE FIBRES : BLEACHED",5%,,01/07/2017,
51123030,"WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR OTHER, MIXED MAINLY OR SOLELY WITH MAN-MADE STAPLE FIBRES : DYED",5%,,01/07/2017,
51123040,"WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR OTHER, MIXED MAINLY OR SOLELY WITH MAN-MADE STAPLE FIBRES : PRINTED",5%,,01/07/2017,
51123090,"WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR OTHER, MIXED MAINLY OR SOLELY WITH MAN-MADE STAPLE FIBRES : OTHER",5%,,01/07/2017,
511290,OTHER,5%,,01/07/2017,
51129010,WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR OTHER : UNBLEACHED,5%,,01/07/2017,
51129020,WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR OTHER : BLEACHED,5%,,01/07/2017,
51129030,WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR OTHER : DYED,5%,,01/07/2017,
51129040,WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR OTHER : PRINTED,5%,,01/07/2017,
51129050,"WOVEN FABRICS OF COMBED WOOL, OR OF COMBED FINE ANIMAL HAIR -OF HANDLOOM",5%,,01/07/2017,
51129090,WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR OTHER : OTHER,5%,,01/07/2017,
5113,WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR,5%,,01/07/2017,
511300,WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR,5%,,01/07/2017,
51130010,WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR : UNBLEACHED,5%,,01/07/2017,
51130020,WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR : BLEACHED,5%,,01/07/2017,
51130030,WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR : DYED,5%,,01/07/2017,
51130040,WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR : PRINTED,5%,,01/07/2017,
51130090,WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR : OTHER,5%,,01/07/2017,
511991,SILKWORM PUPAE,0%,,01/07/2017,
511992,SINEWS AND TENDONS,0%,,01/07/2017,
511999,OTHER,0%,,01/07/2017,
