HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
63049299,OTHER FURNISHING ARTICLES - OTHER THAN HANDLOOM,12%,,15/11/2017        1/07/2017,
63049300,"OTHER FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404 OTHER: NOT KNITTED OR CROCHETED, OF SYNTHETIC FIBRES",12%,,15/11/2017        1/07/2017,
630499,"NOT KNITTED OR CROCHETED, OF OTHER TEXTILE MATERIAL",12%,,15/11/2017        1/07/2017,
63049910,"OTHER FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404 OTHER: NOT KNITTED OR CROCHETED, OF OTHER TEXTILE MATERIAL: SILK CUSHION COVERS",12%,,15/11/2017        1/07/2017,
63049991,"OTHER FURNISHING ARTICLES - NOT KNITTED OR CROCHETED, OF OTHER TEXTILE MATERIAL - OF SILK, HANDLOOM",12%,,15/11/2017        1/07/2017,
63049992,"OTHER FURNISHING ARTICLES - NOT KNITTED OR CROCHETED, OF OTHER TEXTILE MATERIAL - OF WOOL, HANDLOOM",12%,,15/11/2017        1/07/2017,
63049999,"OTHER FURNISHING ARTICLES - NOT KNITTED OR CROCHETED, OF OTHER TEXTILE MATERIAL - OTHER THAN OF SILK, HANDLOOM OR",12%,,15/11/2017        1/07/2017,
6305,"SACKS AND BAGS, OF A KIND USED FOR THE PACKING OF GOODS",18%,,01/01/2020,
630510,OF JUTE OR OF OTHER TEXTILE BAST FIBRES OF HEADING 5303,18%,,01/01/2020,
63051010,"SACKS AND BAGS, OF A KIND USED FOR THE PACKING OF GOODS OF JUTE OR OF OTHER TEXTILE BAST FIBRES OF HEADING 5303: JUTE BAGGING FOR RAW COTTON",18%,,01/01/2020,
63051020,"SACKS AND BAGS, OF A KIND USED FOR THE PACKING OF GOODS OF JUTE OR OF OTHER TEXTILE BAST FIBRES OF HEADING 5303: JUTE CORN (GRAINS) SACKS",18%,,01/01/2020,
63051030,"SACKS AND BAGS, OF A KIND USED FOR THE PACKING OF GOODS OF JUTE OR OF OTHER TEXTILE BAST FIBRES OF HEADING 5303: JUTE HESSIAN BAGS",18%,,01/01/2020,
63051040,"SACKS AND BAGS, OF A KIND USED FOR THE PACKING OF GOODS OF JUTE OR OF OTHER TEXTILE BAST FIBRES OF HEADING 5303: JUTE SACKING BAGS",18%,,01/01/2020,
