HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
28091000,"DIPHOSPHORUS PENTAOXIDE; PHOSPHORIC ACID; POLYPHOSPHORIC ACIDS, WHETHER OR NOT CHEMICALLY DEFINED - DIPHOSPHORUS PENTAOXIDE",18%,,01/07/2017,
280920,PHOSPHORIC ACID AND POLYPHOSPHORIC ACIDS,5%,,27/07/2018             25/01/2018,
28092010,"DIPHOSPHORUS PENTAOXIDE; PHOSPHORIC ACID; POLYPHOSPHORIC ACIDS, WHETHER OR NOT CHEMICALLY DEFINED - PHOSPHORIC ACID AND POLYPHOSPHORIC ACIDS : PHOSPORIC ACID",5%,,27/07/2018             25/01/2018,
28092020,"DIPHOSPHORUS PENTAOXIDE; PHOSPHORIC ACID; POLYPHOSPHORIC ACIDS, WHETHER OR NOT CHEMICALLY DEFINED - PHOSPHORIC ACID AND POLYPHOSPHORIC ACIDS : POLYPHOSPHORIC ACIDS",18%,,01/07/2017,
2810,OXIDES OF BORON; BORIC ACIDS - OXIDES OF BORON; BORIC ACIDS:,18%,,01/07/2017,
28100010,OXIDES OF BORON; BORIC ACIDS - OXIDES OF BORON; BORIC ACIDS : OXIDES OF BORON,18%,,01/07/2017,
28100020,OXIDES OF BORON; BORIC ACIDS - OXIDES OF BORON; BORIC ACIDS : BORIC ACIDS,18%,,01/07/2017,
2811,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC ACIDS :,18%,,01/07/2017,
28111100,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC ACIDS : HYDROGEN FLUORIDE (HYDROFLUORIC ACID),18%,,01/07/2017,
28111200,HYDROGEN CYANIDE (HYDROCYANIC ACID),18%,,01/07/2017,
281119,OTHER,18%,,01/07/2017,
28111910,"OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC ACIDS : - OTHER : HYDROCYANIC ACID (HYDROGEN CYANIDE, PRUSSIC ACID)",18%,,01/07/2017,
28111920,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC ACIDS : - OTHER : HYPOPHOSPHORUS ACID (PHOSPHINIC ACID),18%,,01/07/2017,
28111930,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC ACIDS : - OTHER : ACIDS OF ARSENIC,18%,,01/07/2017,
28111940,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC ACIDS : - OTHER : SULPHONIC ACID,18%,,01/07/2017,
28111990,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC ACIDS : - OTHER : OTHER,18%,,01/07/2017,
281121,CARBON DIOXIDE,18%,,01/07/2017,
28112110,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : - CARBON DIOXIDE : DRY ICE,18%,,01/07/2017,
28112190,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : - CARBON DIOXIDE : OTHER,18%,,01/07/2017,
28112200,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : SILICON DIOXIDE,18%,,01/07/2017,
28112300,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : SULPHUR DIOXIDE,18%,,01/07/2017,
281129,OTHER,18%,,01/07/2017,
28112910,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : - OTHER : ARSENIC PENTAOXIDE,18%,,01/07/2017,
28112920,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : - OTHER : ARSENIC TRIOXIDE,18%,,01/07/2017,
28112930,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : - OTHER : NITROUS OXIDE,18%,,01/07/2017,
28112940,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : - OTHER : CARBON MONOXIDE,18%,,01/07/2017,
28112950,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : - OTHER : SULPHUR TRIOXIDE (SULPHURIC ANHYDRIDE),18%,,01/07/2017,
28112990,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : - OTHER : OTHER,18%,,01/07/2017,
2812,HALIDES AND HALIDE OXIDES OF NON-METALS,18%,,01/07/2017,
281210,CHLORIDES AND CHLORIDE OXIDES,18%,,01/07/2017,
28121010,"HALIDES AND HALIDE OXIDES OF NON-METALS - CHLORIDES AND CHLORIDE OXIDES : PHOSGENE (CARBONYL CHLORIDE, CARBON OXY-CHLORIDE, CHLOROFORMYL CHLORIDE)",18%,,01/07/2017,
28121020,HALIDES AND HALIDE OXIDES OF NON-METALS - CHLORIDES AND CHLORIDE OXIDES : PHOSPHORUS TRICHLORIDE,18%,,01/07/2017,
28121021,PHOSPHORUS TRICHLORIDE,18%,,01/07/2017,
28121022,PHOSPHORUS PENTACHLORIDE,18%,,01/07/2017,
28121030,HALIDES AND HALIDE OXIDES OF NON-METALS - CHLORIDES AND CHLORIDE OXIDES : PHOSPHORUS OXYCHLORIDE,18%,,01/07/2017,
28121040,"HALIDES AND HALIDE OXIDES OF NON-METALS - CHLORIDES AND CHLORIDE OXIDES : SULPHUR OXYCHLORIDE, THIONYL CHLORIDE",18%,,01/07/2017,
28121041,SULPHUR OXYCHLORIDE,18%,,01/07/2017,
28121042,SULPHUR MONOCHLORIDE,18%,,01/07/2017,
28121043,SULPHUR DICHLORIDE,18%,,01/07/2017,
28121047,THIONYL CHLORIDE,18%,,01/07/2017,
28121050,HALIDES AND HALIDE OXIDES OF NON-METALS - CHLORIDES AND CHLORIDE OXIDES : SILICON TETRACHLORIDE,18%,,01/07/2017,
28121060,ARSENOUS TRICHLORIDE,18%,,01/07/2017,
28121090,HALIDES AND HALIDE OXIDES OF NON-METALS - CHLORIDES AND CHLORIDE OXIDES : OTHER,18%,,01/07/2017,
28121100,CARBONYL DICHLORIDE (PHOSGENE),18%,,01/07/2017,
28121200,PHOSPHOROUS OXYCHLORIDE,18%,,01/07/2017,
28121300,PHOSPHOROUS TRICHLORIDE,18%,,01/07/2017,
28121400,PHOSPHOROUS PENTACHLORIDE,18%,,01/07/2017,
28121500,SULPHUR MONOCHLORIDE,18%,,01/07/2017,
28121600,SULPHUR DICHLORIDE,18%,,01/07/2017,
28121700,THIONYL CHLORIDE,18%,,01/07/2017,
28121910,SULPHUR OXYCHLORIDE,18%,,01/07/2017,
28121920,SILICON TETRACHLORIDE,18%,,01/07/2017,
28121930,ARSENOUS TRICHLORIDE,18%,,01/07/2017,
28121990,OTHER,18%,,01/07/2017,
28129000,HALIDES AND HALIDE OXIDES OF NON-METALS - OTHER,18%,,01/07/2017,
2813,SULPHIDES OF NON-METALS; COMMERCIAL PHOSPHORUS TRISULPHIDE,18%,,01/07/2017,
28131000,SULPHIDES OF NON-METALS; COMMERCIAL PHOSPHORUS TRISULPHIDE -CARBON DISULPHIDE,18%,,01/07/2017,
281390,OTHER,18%,,01/07/2017,
28139010,SULPHIDES OF NON-METALS; COMMERCIAL PHOSPHORUS TRISULPHIDE - OTHER : ARSENIC DISULPHIDE (ARTIFICIAL),18%,,01/07/2017,
28139020,SULPHIDES OF NON-METALS; COMMERCIAL PHOSPHORUS TRISULPHIDE - OTHER : COMMERCIAL PHOSPHORUS TRISULPHIDE,18%,,01/07/2017,
28139090,SULPHIDES OF NON-METALS; COMMERCIAL PHOSPHORUS TRISULPHIDE - OTHER : OTHER,18%,,01/07/2017,
2814,"AMMONIA, ANHYDROUS OR IN AQUEOUS SOLUTION",18%,,01/07/2017,
28141000,"AMMONIA, ANHYDROUS OR IN AQUEOUS SOLUTION - ANHYDROUS AMMONIA",18%,,01/07/2017,
28142000,"AMMONIA, ANHYDROUS OR IN AQUEOUS SOLUTION - AMMONIA IN AQUEOUS SOLUTION",18%,,01/07/2017,
2815,SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM - SODIUM HYDROXIDE (CAUSTIC SODA) :,18%,,01/07/2017,
281511,SOLID,18%,,01/07/2017,
